artist,genre,city,country,venue_type,capacity,month,event_day,days_until_event,marketing_budget,ticket_price,artist_popularity,previous_attendance_rate,pre_sale_interest,artist_market_score,is_weekend,marketing_per_capacity,price_per_capacity,popularity_marketing,occupancy_pct,tickets_sold,demand_class
David Guetta,electronica,Los Angeles,Estados Unidos,theater,7078,5,Thursday,2,157082,33262,93,0.82,4197,0.95,0,22.19299237,4.699350099,14608626,0.64,4530,media
Grupo Firme,banda,Bogota,Colombia,club,1791,12,Wednesday,27,51833,1734,90,0.78,1193,0.88,0,28.94081519,0.968174204,4664970,0.54,967,baja
The Weeknd,pop,Queretaro,Mexico,theater,8188,10,Thursday,172,227767,4129,96,0.9,5682,0.82,0,27.81717147,0.504274548,21865632,0.72,5895,media
Peso Pluma,regional_mexicano,Queretaro,Mexico,stadium,38238,11,Friday,76,471399,1679,93,0.58,15550,0.82,1,12.32802448,0.0439092,43840107,0.69,26384,media
Ariana Grande,pop,Guadalajara,Mexico,theater,4786,6,Wednesday,48,73054,3173,95,0.88,2651,0.92,0,15.26410364,0.662975345,6940130,0.59,2824,media
BTS,kpop,Bogota,Colombia,stadium,55027,9,Monday,110,841427,4796,99,0.95,32800,0.88,0,15.29116615,0.087157214,83301273,0.82,45122,alta
Los Tigres del Norte,norteno,Leon,Mexico,club,2928,1,Saturday,13,43574,1900,92,0.74,1051,0.78,1,14.8818306,0.648907104,4008808,0.57,1669,media
Drake,rap,Madrid,España,theater,7114,10,Sunday,25,100998,2159,94,0.86,5382,0.9,0,14.19707619,0.303486084,9493812,0.95,6758,alta
TWICE,kpop,Leon,Mexico,festival,29877,6,Tuesday,107,515451,2819,92,0.84,16578,0.78,0,17.25243498,0.094353516,47421492,0.69,20615,media
The Weeknd,pop,CDMX,Mexico,arena,23246,7,Monday,59,514315,4164,96,0.9,19455,1,0,22.1248817,0.179127592,49374240,0.92,21386,alta
aespa,kpop,Guadalajara,Mexico,stadium,52484,12,Saturday,107,1219156,1728,90,0.7,20055,0.92,1,23.22909839,0.03292432,109724040,0.79,41462,alta
Martin Garrix,electronica,Leon,Mexico,arena,21111,7,Friday,119,472026,1928,92,0.7,11521,0.78,1,22.359244,0.091326796,43426392,0.54,11400,baja
Coldplay,rock,Seul,Desconocido,stadium,79636,4,Wednesday,143,1936406,4081,96,0.7,43865,0.8,0,24.31571149,0.051245668,185894976,0.94,74858,alta
Post Malone,rap,Madrid,España,theater,4609,2,Thursday,58,60861,4362,92,0.7,1992,0.9,0,13.20481666,0.946409199,5599212,0.31,1429,baja
Taylor Swift,pop,Queretaro,Mexico,club,2563,7,Tuesday,94,73857,29909,98,0.7,1055,0.82,0,28.81662115,11.6695279,7237986,0.3,769,baja
Clairo,indie,Queretaro,Mexico,stadium,66829,5,Tuesday,119,1161761,1915,80,0.7,22480,0.82,0,17.38408475,0.028655225,92940880,0.6,40097,media
Karol G,reggaeton,Bogota,Colombia,stadium,48105,1,Sunday,90,1282438,1955,94,0.7,21919,0.88,0,26.65914146,0.040640266,120549172,0.84,40408,alta
